N,W,G,max_err_sincos,rms_err_sincos,max_err_mag,max_err_phase_rad
8,12,3,8.061950e-03,3.182681e-03,8.935894e-04,8.804268e-03
8,13,3,7.917245e-03,3.173072e-03,5.376351e-04,8.227269e-03
8,14,3,7.807191e-03,3.168015e-03,2.293884e-04,7.962181e-03
8,15,3,7.795174e-03,3.167444e-03,1.297519e-04,7.884131e-03
8,16,3,7.734139e-03,3.167354e-03,7.446287e-05,7.797601e-03
8,17,3,7.764657e-03,3.167065e-03,4.383581e-05,7.825320e-03
8,18,3,7.749398e-03,3.167096e-03,3.910061e-05,7.791497e-03
8,19,3,7.749398e-03,3.167074e-03,3.375043e-05,7.791504e-03
8,20,3,7.749398e-03,3.167063e-03,3.308040e-05,7.797496e-03
8,21,3,7.749398e-03,3.167055e-03,3.036825e-05,7.792038e-03
8,22,3,7.748444e-03,3.167059e-03,3.070806e-05,7.794428e-03
8,23,3,7.748444e-03,3.167057e-03,3.053815e-05,7.793233e-03
8,24,3,7.748444e-03,3.167057e-03,3.038469e-05,7.793456e-03
9,12,4,4.087444e-03,1.618625e-03,7.066362e-04,4.759534e-03
9,13,4,4.010995e-03,1.599003e-03,4.146126e-04,4.083968e-03
9,14,4,3.972006e-03,1.592179e-03,1.965750e-04,3.956011e-03
9,15,4,3.888924e-03,1.590559e-03,1.068638e-04,3.998091e-03
9,16,4,3.849936e-03,1.590168e-03,4.709130e-05,3.952944e-03
9,17,4,3.858407e-03,1.590028e-03,2.294636e-05,3.894494e-03
9,18,4,3.843148e-03,1.589945e-03,1.622969e-05,3.883611e-03
9,19,4,3.843148e-03,1.589962e-03,1.221269e-05,3.896383e-03
9,20,4,3.846963e-03,1.589950e-03,1.035527e-05,3.890639e-03
9,21,4,3.845055e-03,1.589954e-03,8.049261e-06,3.888504e-03
9,22,4,3.845055e-03,1.589951e-03,7.886635e-06,3.888504e-03
9,23,4,3.845532e-03,1.589951e-03,7.680695e-06,3.889655e-03
9,24,4,3.845294e-03,1.589952e-03,7.546375e-06,3.889655e-03
10,12,4,2.528366e-03,8.507466e-04,7.066362e-04,2.813802e-03
10,13,4,2.134319e-03,8.105390e-04,4.299896e-04,2.356708e-03
10,14,4,2.018881e-03,7.980342e-04,1.834911e-04,2.050269e-03
10,15,4,1.935799e-03,7.951088e-04,1.091137e-04,1.972458e-03
10,16,4,1.914665e-03,7.949659e-04,4.806378e-05,1.947716e-03
10,17,4,1.908289e-03,7.947824e-04,2.440440e-05,1.962279e-03
10,18,4,1.896811e-03,7.945988e-04,1.060917e-05,1.945674e-03
10,19,4,1.897652e-03,7.945748e-04,6.077696e-06,1.942955e-03
10,20,4,1.896845e-03,7.945966e-04,4.294830e-06,1.941961e-03
10,21,4,1.894937e-03,7.945792e-04,2.542801e-06,1.938965e-03
10,22,4,1.894937e-03,7.945733e-04,2.440840e-06,1.939470e-03
10,23,4,1.895414e-03,7.945777e-04,2.033290e-06,1.939198e-03
10,24,4,1.895414e-03,7.945783e-04,2.012876e-06,1.939208e-03
11,12,4,1.551804e-03,5.064658e-04,7.066362e-04,1.893916e-03
11,13,4,1.193418e-03,4.293311e-04,4.482277e-04,1.421443e-03
11,14,4,1.081307e-03,4.056207e-04,1.834911e-04,1.179094e-03
11,15,4,1.001008e-03,3.994132e-04,1.061334e-04,1.013720e-03
11,16,4,9.592368e-04,3.981678e-04,5.277622e-05,9.877340e-04
11,17,4,9.433930e-04,3.977378e-04,2.440440e-05,9.937192e-04
11,18,4,9.358818e-04,3.976901e-04,1.237705e-05,9.629677e-04
11,19,4,9.326802e-04,3.976705e-04,7.053488e-06,9.737956e-04
11,20,4,9.326802e-04,3.976228e-04,2.786365e-06,9.702313e-04
11,21,4,9.307729e-04,3.976429e-04,1.555341e-06,9.680815e-04
11,22,4,9.307729e-04,3.976387e-04,8.486249e-07,9.696850e-04
11,23,4,9.307729e-04,3.976386e-04,6.816145e-07,9.684601e-04
11,24,4,9.310113e-04,3.976407e-04,6.130579e-07,9.684601e-04
12,12,4,1.159387e-03,3.829476e-04,7.066362e-04,1.279821e-03
12,13,4,7.953682e-04,2.601651e-04,4.482277e-04,8.922308e-04
12,14,4,5.930259e-04,2.125780e-04,1.834911e-04,6.984824e-04
12,15,4,5.272144e-04,2.047353e-04,1.061334e-04,5.671187e-04
12,16,4,4.799711e-04,2.004920e-04,5.277622e-05,5.083650e-04
12,17,4,4.749166e-04,1.989969e-04,2.682908e-05,4.923246e-04
12,18,4,4.661793e-04,1.992067e-04,1.242571e-05,4.861285e-04
12,19,4,4.596578e-04,1.991604e-04,7.053488e-06,4.824424e-04
12,20,4,4.596578e-04,1.991157e-04,2.985631e-06,4.854837e-04
12,21,4,4.596578e-04,1.991093e-04,1.546008e-06,4.854837e-04
12,22,4,4.587041e-04,1.990942e-04,8.391594e-07,4.854128e-04
12,23,4,4.587041e-04,1.991112e-04,4.075821e-07,4.846992e-04
12,24,4,4.589425e-04,1.991085e-04,2.715699e-07,4.846815e-04
13,12,4,9.539869e-04,3.373673e-04,7.066362e-04,1.331043e-03
13,13,4,5.930259e-04,1.871198e-04,4.671814e-04,7.441956e-04
13,14,4,3.616099e-04,1.282119e-04,1.837927e-04,4.687998e-04
13,15,4,2.990065e-04,1.075933e-04,1.061334e-04,3.713150e-04
13,16,4,2.612935e-04,1.013119e-04,5.277622e-05,2.847210e-04
13,17,4,2.468624e-04,1.000437e-04,2.682908e-05,2.711015e-04
13,18,4,2.395396e-04,9.953545e-05,1.344225e-05,2.473448e-04
13,19,4,2.395396e-04,9.945643e-05,7.053488e-06,2.430811e-04
13,20,4,2.395396e-04,9.948645e-05,3.299429e-06,2.405252e-04
13,21,4,2.376322e-04,9.950079e-05,1.857039e-06,2.419201e-04
13,22,4,2.376322e-04,9.948552e-05,8.325223e-07,2.427207e-04
13,23,4,2.376322e-04,9.948295e-05,4.528908e-07,2.422308e-04
13,24,4,2.378706e-04,9.948491e-05,2.142137e-07,2.422756e-04
14,12,4,9.988131e-04,3.312409e-04,7.066362e-04,1.103808e-03
14,13,4,6.049007e-04,1.715121e-04,5.321512e-04,5.815014e-04
14,14,4,2.857937e-04,9.080248e-05,1.891569e-04,4.054038e-04
14,15,4,1.836195e-04,6.669345e-05,1.061334e-04,2.422075e-04
14,16,4,1.411613e-04,5.325570e-05,5.444700e-05,1.888472e-04
14,17,4,1.388670e-04,5.058802e-05,2.682908e-05,1.446514e-04
14,18,4,1.250614e-04,4.987219e-05,1.408137e-05,1.277459e-04
14,19,4,1.236082e-04,4.965508e-05,6.176909e-06,1.282323e-04
14,20,4,1.197935e-04,4.962810e-05,3.299429e-06,1.241370e-04
14,21,4,1.197935e-04,4.958894e-05,1.857039e-06,1.220696e-04
14,22,4,1.188398e-04,4.959674e-05,8.325223e-07,1.215959e-04
14,23,4,1.188398e-04,4.959532e-05,4.528908e-07,1.221669e-04
14,24,4,1.188398e-04,4.959045e-05,2.222545e-07,1.217924e-04
15,12,4,9.539869e-04,3.294478e-04,7.872761e-04,1.222275e-03
15,13,4,4.786857e-04,1.668079e-04,5.321512e-04,5.815014e-04
15,14,4,2.572571e-04,8.202471e-05,1.959216e-04,3.074213e-04
15,15,4,1.468262e-04,4.790490e-05,1.061334e-04,1.920658e-04
15,16,4,9.089897e-05,3.088594e-05,5.444700e-05,1.201150e-04
15,17,4,7.783184e-05,2.669615e-05,2.870104e-05,8.797011e-05
15,18,4,6.819029e-05,2.524564e-05,1.473248e-05,7.611560e-05
15,19,4,6.539115e-05,2.503929e-05,6.176909e-06,6.857266e-05
15,20,4,6.120969e-05,2.489988e-05,3.921297e-06,6.439383e-05
15,21,4,6.120969e-05,2.492687e-05,1.882885e-06,6.054973e-05
15,22,4,6.120969e-05,2.490053e-05,8.325223e-07,6.137643e-05
15,23,4,6.120969e-05,2.489962e-05,4.528908e-07,6.088091e-05
15,24,4,6.109904e-05,2.489905e-05,2.222545e-07,6.074777e-05
16,12,4,9.988131e-04,3.338559e-04,7.872761e-04,1.222275e-03
