seq,mode,x,y,z,xo,yo,zo
0,0,32768,0,-65536,-32768,0,0
1,0,32768,0,-65504,-32768,-48,1
2,0,32768,0,-65472,-32768,-100,0
3,0,32768,0,-65440,-32768,-152,-1
4,0,32768,0,-65408,-32767,-200,0
5,0,32768,0,-65376,-32767,-252,-1
6,0,32768,0,-65344,-32767,-300,1
7,0,32768,0,-65312,-32766,-352,0
8,0,32768,0,-65280,-32765,-400,1
9,0,32768,0,-65248,-32765,-452,0
10,0,32768,0,-65216,-32764,-504,-1
11,0,32768,0,-65184,-32764,-552,1
12,0,32768,0,-65152,-32763,-604,0
13,0,32768,0,-65120,-32762,-652,1
14,0,32768,0,-65088,-32760,-704,0
15,0,32768,0,-65056,-32759,-756,-1
16,0,32768,0,-65024,-32758,-804,0
17,0,32768,0,-64992,-32757,-856,-1
18,0,32768,0,-64960,-32756,-904,1
19,0,32768,0,-64928,-32754,-956,0
20,0,32768,0,-64896,-32753,-1004,1
21,0,32768,0,-64864,-32751,-1056,0
22,0,32768,0,-64832,-32750,-1104,1
23,0,32768,0,-64800,-32748,-1156,0
24,0,32768,0,-64768,-32746,-1208,-1
25,0,32768,0,-64736,-32744,-1255,0
26,0,32768,0,-64704,-32742,-1307,-1
27,0,32768,0,-64672,-32740,-1355,1
28,0,32768,0,-64640,-32738,-1407,0
29,0,32768,0,-64608,-32736,-1455,1
30,0,32768,0,-64576,-32733,-1507,0
31,0,32768,0,-64544,-32731,-1559,-1
32,0,32768,0,-64512,-32729,-1607,0
33,0,32768,0,-64480,-32726,-1659,-1
34,0,32768,0,-64448,-32724,-1707,1
35,0,32768,0,-64416,-32721,-1759,0
36,0,32768,0,-64384,-32718,-1807,1
37,0,32768,0,-64352,-32715,-1859,0
38,0,32768,0,-64320,-32712,-1911,-1
39,0,32768,0,-64288,-32709,-1959,0
40,0,32768,0,-64256,-32706,-2011,-1
41,0,32768,0,-64224,-32703,-2058,1
42,0,32768,0,-64192,-32700,-2110,0
43,0,32768,0,-64160,-32697,-2158,1
44,0,32768,0,-64128,-32693,-2210,0
45,0,32768,0,-64096,-32690,-2262,-1
46,0,32768,0,-64064,-32687,-2310,0
47,0,32768,0,-64032,-32683,-2362,-1
48,0,32768,0,-64000,-32679,-2410,1
49,0,32768,0,-63968,-32675,-2462,-1
50,0,32768,0,-63936,-32672,-2509,1
51,0,32768,0,-63904,-32668,-2561,0
52,0,32768,0,-63872,-32664,-2613,-1
53,0,32768,0,-63840,-32660,-2660,0
54,0,32768,0,-63808,-32656,-2712,-1
55,0,32768,0,-63776,-32652,-2760,1
56,0,32768,0,-63744,-32647,-2812,0
57,0,32768,0,-63712,-32643,-2860,1
58,0,32768,0,-63680,-32639,-2912,0
59,0,32768,0,-63648,-32634,-2963,-1
60,0,32768,0,-63616,-32629,-3011,0
61,0,32768,0,-63584,-32625,-3063,-1
62,0,32768,0,-63552,-32620,-3111,1
63,0,32768,0,-63520,-32615,-3163,0
64,0,32768,0,-63488,-32610,-3210,1
65,0,32768,0,-63456,-32605,-3262,0
66,0,32768,0,-63424,-32600,-3314,-1
67,0,32768,0,-63392,-32595,-3362,0
68,0,32768,0,-63360,-32590,-3413,-1
69,0,32768,0,-63328,-32585,-3461,0
70,0,32768,0,-63296,-32579,-3513,-1
71,0,32768,0,-63264,-32574,-3560,1
72,0,32768,0,-63232,-32568,-3612,0
73,0,32768,0,-63200,-32563,-3664,-1
74,0,32768,0,-63168,-32557,-3711,0
75,0,32768,0,-63136,-32551,-3763,-1
76,0,32768,0,-63104,-32546,-3811,0
77,0,32768,0,-63072,-32540,-3863,-1
78,0,32768,0,-63040,-32534,-3910,1
79,0,32768,0,-63008,-32528,-3962,0
80,0,32768,0,-62976,-32522,-4010,1
81,0,32768,0,-62944,-32515,-4061,0
82,0,32768,0,-62912,-32509,-4113,-1
83,0,32768,0,-62880,-32503,-4160,0
84,0,32768,0,-62848,-32496,-4212,-1
85,0,32768,0,-62816,-32490,-4259,1
86,0,32768,0,-62784,-32483,-4311,0
87,0,32768,0,-62752,-32477,-4358,1
88,0,32768,0,-62720,-32470,-4410,0
89,0,32768,0,-62688,-32463,-4462,-1
90,0,32768,0,-62656,-32456,-4509,0
91,0,32768,0,-62624,-32449,-4560,0
92,0,32768,0,-62592,-32443,-4607,1
93,0,32768,0,-62560,-32435,-4659,0
94,0,32768,0,-62528,-32428,-4710,-1
95,0,32768,0,-62496,-32421,-4758,0
96,0,32768,0,-62464,-32413,-4809,-1
97,0,32768,0,-62432,-32406,-4857,1
98,0,32768,0,-62400,-32398,-4909,0
99,0,32768,0,-62368,-32391,-4956,1
